Record Length,20480










Source,CH1,CH2
Second,Volt,Volt
-0.00040960000,2.60000,2.48000
-0.00040956000,2.56000,2.44000
-0.00040952000,2.56000,2.48000
-0.00040948000,2.56000,2.44000
-0.00040944000,2.56000,2.44000
-0.00040940000,2.56000,2.44000
-0.00040936000,2.60000,2.48000
-0.00040932000,2.56000,2.44000
-0.00040928000,2.56000,2.44000
-0.00040924000,2.56000,2.44000
-0.00040920000,2.60000,2.44000
-0.00040915997,2.56000,2.44000
-0.00040912000,2.60000,2.44000
-0.00040908000,2.56000,2.44000
-0.00040904000,2.56000,2.44000
-0.00040900000,2.60000,2.44000
-0.00040896000,2.56000,2.44000
-0.00040892000,2.56000,2.44000
-0.00040888000,2.60000,2.48000
-0.00040884000,2.56000,2.48000
-0.00040880000,2.56000,2.44000
-0.00040876000,2.56000,2.44000
-0.00040872000,2.60000,2.44000
-0.00040868000,2.56000,2.44000
-0.00040864000,2.60000,2.44000
-0.00040860000,2.60000,2.44000
-0.00040856000,2.56000,2.44000
-0.00040852000,2.60000,2.44000
-0.00040848000,2.60000,2.44000
-0.00040843997,2.56000,2.44000
-0.00040840000,2.60000,2.44000
-0.00040836000,2.60000,2.44000
-0.00040832000,2.56000,2.44000
-0.00040828000,2.56000,2.44000
-0.00040824000,2.60000,2.44000
-0.00040820000,2.60000,2.44000
-0.00040816000,2.60000,2.44000
-0.00040812000,2.56000,2.44000
-0.00040808000,2.56000,2.44000
-0.00040804000,2.56000,2.48000
-0.00040800000,2.56000,2.44000
-0.00040796000,2.60000,2.44000
-0.00040792000,2.56000,2.48000
-0.00040788000,2.56000,2.44000
-0.00040784000,2.56000,2.44000
-0.00040780000,2.60000,2.44000
-0.00040776000,2.56000,2.44000
-0.00040772000,2.60000,2.44000
-0.00040768000,2.60000,2.44000
-0.00040764000,2.60000,2.48000
-0.00040760000,2.56000,2.44000
-0.00040756000,2.60000,2.44000
-0.00040751997,2.56000,2.44000
-0.00040748000,2.64000,2.44000
-0.00040744000,2.52000,2.40000
-0.00040740000,2.68000,2.52000
-0.00040736000,2.52000,2.40000
-0.00040732000,2.56000,2.44000
-0.00040728000,2.64000,2.48000
-0.00040724000,2.56000,2.44000
-0.00040720000,2.60000,2.48000
-0.00040716000,2.60000,2.44000
-0.00040712000,2.56000,2.44000
-0.00040708000,2.60000,2.44000
-0.00040704000,2.60000,2.44000
-0.00040700000,2.56000,2.44000
-0.00040696000,2.56000,2.44000
-0.00040692000,2.60000,2.44000
-0.00040688000,2.56000,2.44000
-0.00040684000,2.56000,2.48000
-0.00040679997,2.56000,2.44000
-0.00040676000,2.56000,2.44000
-0.00040672000,2.56000,2.44000
-0.00040668000,2.60000,2.44000
-0.00040664000,2.56000,2.44000
-0.00040660000,2.56000,2.44000
-0.00040656000,2.60000,2.44000
-0.00040652000,2.56000,2.44000
-0.00040648000,2.56000,2.44000
-0.00040644000,2.60000,2.44000
-0.00040640000,2.56000,2.44000
-0.00040636000,2.56000,2.44000
-0.00040632000,2.56000,2.44000
-0.00040628000,2.60000,2.44000
-0.00040624000,2.56000,2.44000
-0.00040620000,2.60000,2.44000
-0.00040616000,2.56000,2.44000
-0.00040612000,2.56000,2.44000
-0.00040607997,2.56000,2.44000
-0.00040604000,2.56000,2.44000
-0.00040600000,2.56000,2.48000
-0.00040596000,2.60000,2.44000
-0.00040592000,2.56000,2.44000
-0.00040588000,2.60000,2.44000
-0.00040584000,2.56000,2.40000
-0.00040580000,2.60000,2.44000
-0.00040576000,2.56000,2.44000
-0.00040572000,2.60000,2.44000
-0.00040568000,2.60000,2.44000
-0.00040564000,2.60000,2.44000
-0.00040560000,2.60000,2.44000
-0.00040556000,2.56000,2.44000
-0.00040552000,2.56000,2.44000
-0.00040548000,2.64000,2.48000
-0.00040544000,2.56000,2.44000
-0.00040540000,2.56000,2.48000
-0.00040535997,2.60000,2.44000
-0.00040532000,2.56000,2.44000
-0.00040528000,2.60000,2.44000
-0.00040524000,2.60000,2.44000
-0.00040520000,2.60000,2.44000
-0.00040516000,2.60000,2.44000
-0.00040512000,2.56000,2.48000
-0.00040508000,2.56000,2.44000
-0.00040504000,2.60000,2.44000
-0.00040500000,2.56000,2.44000
-0.00040496000,2.56000,2.44000
-0.00040492000,2.56000,2.44000
-0.00040488000,2.60000,2.44000
-0.00040484000,2.60000,2.44000
-0.00040480000,2.60000,2.44000
-0.00040476000,2.56000,2.44000
-0.00040472000,2.52000,2.44000
-0.00040468000,2.60000,2.48000
-0.00040464000,2.60000,2.48000
-0.00040460000,2.60000,2.48000
-0.00040456000,2.60000,2.44000
-0.00040452000,2.56000,2.44000
-0.00040448000,2.60000,2.44000
-0.00040444000,2.56000,2.44000
-0.00040440000,2.56000,2.44000
-0.00040436000,2.60000,2.44000
-0.00040432000,2.60000,2.44000
-0.00040428000,2.56000,2.44000
-0.00040424000,2.60000,2.44000
-0.00040420000,2.56000,2.44000
-0.00040416000,2.56000,2.44000
-0.00040412000,2.60000,2.48000
-0.00040408000,2.56000,2.44000
-0.00040404000,2.56000,2.44000
-0.00040400000,2.64000,2.44000
-0.00040396000,2.56000,2.44000
-0.00040392000,2.56000,2.44000
-0.00040388000,2.60000,2.44000
-0.00040384000,2.56000,2.44000
-0.00040380000,2.60000,2.44000
-0.00040376000,2.60000,2.48000
-0.00040371997,2.52000,2.40000
-0.00040368000,2.60000,2.48000
-0.00040364000,2.60000,2.44000
-0.00040360000,2.56000,2.44000
-0.00040356000,2.60000,2.48000
-0.00040352000,2.60000,2.44000
-0.00040348000,2.56000,2.44000
-0.00040344000,2.60000,2.48000
-0.00040340000,2.56000,2.44000
-0.00040336000,2.56000,2.44000
-0.00040332000,2.60000,2.48000
-0.00040328000,2.60000,2.44000
-0.00040324000,2.56000,2.40000
-0.00040320000,2.56000,2.44000
-0.00040316000,2.56000,2.44000
-0.00040312000,2.56000,2.44000
-0.00040308000,2.60000,2.48000
-0.00040304000,2.56000,2.44000
-0.00040299997,2.60000,2.44000
-0.00040296000,2.60000,2.44000
-0.00040292000,2.60000,2.44000
-0.00040288000,2.56000,2.44000
-0.00040284000,2.56000,2.44000
-0.00040280000,2.56000,2.44000
-0.00040276000,2.56000,2.48000
-0.00040272000,2.56000,2.44000
-0.00040268000,2.56000,2.44000
-0.00040264000,2.60000,2.44000
-0.00040260000,2.56000,2.44000
-0.00040256000,2.60000,2.44000
-0.00040252000,2.56000,2.44000
-0.00040248000,2.56000,2.44000
-0.00040244000,2.56000,2.44000
-0.00040240000,2.60000,2.44000
-0.00040236000,2.56000,2.44000
-0.00040232000,2.56000,2.44000
-0.00040227997,2.56000,2.44000
-0.00040224000,2.56000,2.44000
-0.00040220000,2.60000,2.44000
-0.00040216000,2.56000,2.44000
-0.00040212000,2.56000,2.44000
-0.00040208000,2.60000,2.44000
-0.00040204000,2.56000,2.44000
-0.00040200000,2.60000,2.48000
-0.00040196000,2.56000,2.44000
-0.00040192000,2.60000,2.44000
-0.00040188000,2.56000,2.36000
-0.00040184000,2.64000,2.60000
-0.00040180000,2.72000,2.48000
-0.00040176000,2.40000,2.28000
-0.00040172000,2.72000,2.60000
-0.00040168000,2.48000,2.36000
-0.00040164000,2.48000,2.32000
-0.00040160000,2.72000,2.72000
-0.00040155997,2.52000,2.32000
-0.00040152000,2.56000,2.52000
-0.00040148000,2.68000,2.48000
-0.00040144000,2.44000,2.32000
-0.00040140000,2.56000,2.44000
-0.00040136000,2.64000,2.52000
-0.00040132000,2.52000,2.36000
-0.00040128000,2.64000,2.48000
-0.00040124000,2.60000,2.44000
-0.00040120000,2.56000,2.40000
-0.00040116000,2.52000,2.44000
-0.00040112000,2.60000,2.48000
-0.00040108000,2.56000,2.44000
-0.00040104000,2.56000,2.44000
-0.00040100000,2.68000,2.48000
-0.00040096000,2.52000,2.36000
-0.00040092000,2.60000,2.48000
-0.00040088000,2.56000,2.44000
-0.00040084000,2.52000,2.40000
-0.00040080000,2.60000,2.48000
-0.00040076000,2.60000,2.44000
-0.00040072000,2.56000,2.44000
-0.00040068000,2.60000,2.44000
-0.00040063997,2.56000,2.44000
-0.00040060000,2.56000,2.40000
-0.00040056000,2.60000,2.44000
-0.00040052000,2.56000,2.44000
-0.00040048000,2.56000,2.44000
-0.00040044000,2.60000,2.44000
-0.00040040000,2.60000,2.44000
-0.00040036000,2.56000,2.44000
-0.00040032000,2.60000,2.44000
-0.00040028000,2.60000,2.44000
-0.00040024000,2.56000,2.44000
-0.00040020000,2.60000,2.44000
-0.00040016000,2.56000,2.44000
-0.00040012000,2.56000,2.44000
-0.00040008000,2.60000,2.44000
-0.00040004000,2.60000,2.44000
-0.00040000000,2.56000,2.44000
-0.00039996000,2.60000,2.44000
-0.00039991997,2.56000,2.44000
-0.00039988000,2.60000,2.44000
-0.00039984000,2.56000,2.44000
-0.00039980000,2.56000,2.44000
-0.00039976000,2.60000,2.44000
-0.00039972000,2.56000,2.44000
-0.00039968000,2.60000,2.48000
-0.00039964000,2.56000,2.44000
-0.00039960000,2.56000,2.44000
-0.00039956000,2.60000,2.44000
-0.00039952000,2.56000,2.44000
-0.00039948000,2.56000,2.44000
-0.00039944000,2.56000,2.44000
-0.00039940000,2.60000,2.44000
-0.00039936000,2.56000,2.44000
-0.00039932000,2.60000,2.44000
-0.00039928000,2.56000,2.44000
-0.00039924000,2.60000,2.44000
-0.00039919997,2.56000,2.44000
-0.00039916000,2.56000,2.44000
-0.00039912000,2.56000,2.48000
-0.00039908000,2.60000,2.44000
-0.00039904000,2.60000,2.44000
-0.00039900000,2.60000,2.44000
-0.00039896000,2.56000,2.44000
-0.00039892000,2.56000,2.48000
-0.00039888000,2.56000,2.44000
-0.00039884000,2.56000,2.48000
-0.00039880000,2.56000,2.44000
-0.00039876000,2.56000,2.44000
-0.00039872000,2.60000,2.44000
-0.00039868000,2.56000,2.44000
-0.00039864000,2.60000,2.44000
-0.00039860000,2.56000,2.44000
-0.00039856000,2.56000,2.44000
-0.00039852000,2.60000,2.44000
-0.00039847997,2.60000,2.48000
-0.00039844000,2.56000,2.44000
-0.00039840000,2.60000,2.48000
-0.00039836000,2.56000,2.40000
-0.00039832000,2.60000,2.48000
-0.00039828000,2.56000,2.44000
-0.00039824000,2.60000,2.44000
-0.00039820000,2.56000,2.44000
-0.00039816000,2.56000,2.44000
-0.00039812000,2.60000,2.44000
-0.00039808000,2.56000,2.44000
-0.00039804000,2.60000,2.44000
-0.00039800000,2.56000,2.44000
-0.00039796000,2.60000,2.48000
-0.00039792000,2.56000,2.44000
-0.00039788000,2.56000,2.44000
-0.00039784000,2.56000,2.44000
-0.00039780000,2.60000,2.44000
-0.00039776000,2.56000,2.44000
-0.00039772000,2.60000,2.44000
-0.00039768000,2.60000,2.44000
-0.00039764000,2.56000,2.44000
-0.00039760000,2.56000,2.48000
-0.00039756000,2.56000,2.44000
-0.00039752000,2.60000,2.44000
-0.00039748000,2.60000,2.44000
-0.00039744000,2.56000,2.44000
-0.00039740000,2.60000,2.48000
-0.00039736000,2.60000,2.44000
-0.00039732000,2.56000,2.44000
-0.00039728000,2.56000,2.44000
-0.00039724000,2.56000,2.44000
-0.00039720000,2.56000,2.44000
-0.00039716000,2.60000,2.48000
-0.00039712000,2.56000,2.44000
-0.00039708000,2.56000,2.44000
-0.00039704000,2.60000,2.48000
-0.00039700000,2.56000,2.44000
-0.00039696000,2.56000,2.44000
-0.00039692000,2.56000,2.48000
-0.00039688000,2.56000,2.44000
-0.00039683997,2.60000,2.44000
-0.00039680000,2.60000,2.44000
-0.00039676000,2.60000,2.44000
-0.00039672000,2.56000,2.44000
-0.00039668000,2.56000,2.44000
-0.00039664000,2.56000,2.44000
-0.00039660000,2.60000,2.48000
-0.00039656000,2.60000,2.44000
-0.00039652000,2.60000,2.48000
-0.00039648000,2.52000,2.36000
-0.00039644000,2.64000,2.48000
-0.00039640000,2.56000,2.44000
-0.00039636000,2.60000,2.48000
-0.00039632000,2.60000,2.44000
-0.00039628000,2.56000,2.44000
-0.00039624000,2.60000,2.48000
-0.00039620000,2.56000,2.44000
-0.00039616000,2.56000,2.48000
-0.00039611997,2.60000,2.44000
-0.00039608000,2.56000,2.44000
-0.00039604000,2.56000,2.44000
-0.00039600000,2.56000,2.48000
-0.00039596000,2.56000,2.48000
-0.00039592000,2.52000,2.44000
-0.00039588000,2.60000,2.44000
-0.00039584000,2.60000,2.44000
-0.00039580000,2.56000,2.44000
-0.00039576000,2.60000,2.48000
-0.00039572000,2.56000,2.44000
-0.00039568000,2.52000,2.40000
-0.00039564000,2.64000,2.48000
-0.00039560000,2.52000,2.44000
-0.00039556000,2.60000,2.44000
-0.00039552000,2.64000,2.48000
-0.00039548000,2.52000,2.40000
-0.00039544000,2.60000,2.48000
-0.00039539997,2.60000,2.44000
-0.00039536000,2.52000,2.44000
-0.00039532000,2.64000,2.48000
-0.00039528000,2.56000,2.44000
-0.00039524000,2.56000,2.44000
